6,9,23,31,35,38,41,42,47,55,59,65,71,75,82,89,93,90,98,99
0,6,12,13,14,27,29,31,32,35,36,45,56,66,69,72,81,84,91,96
0,6,11,26,27,32,49,53,54,55,56,58,71,73,83,86,88,89,95,97
3,10,14,22,24,25,29,46,52,57,58,64,65,71,74,75,91,92,95,99
2,8,15,18,21,24,25,26,33,39,43,47,49,51,55,62,63,78,91,95
6,7,14,15,16,18,19,21,22,26,38,44,47,51,52,68,73,76,79,88
2,10,28,32,33,34,36,39,42,48,53,54,66,70,77,85,89,90,93,97
5,8,14,16,22,21,43,44,49,57,66,69,71,73,77,81,82,85,92,96
6,16,23,25,26,29,50,53,55,58,61,62,69,76,77,85,88,93,96,98
5,16,17,20,30,31,38,50,51,54,63,69,72,78,82,87,88,91,92,94
10,18,20,29,30,39,41,49,50,51,53,54,55,61,62,70,73,84,88,99
5,12,13,28,39,41,42,45,51,53,55,56,62,63,69,73,79,80,93,98
0,7,13,31,38,44,52,54,55,57,64,65,70,73,85,89,94,95,97,99
1,3,7,9,21,23,28,38,43,48,61,63,70,75,76,77,87,91,94,98
1,4,10,15,16,23,47,49,52,54,62,69,71,74,85,88,89,91,97,99
0,1,9,22,24,26,38,40,45,47,55,58,59,60,61,73,80,91,94,98
7,10,16,18,25,40,43,49,56,57,65,67,72,74,81,84,86,87,89,92
0,14,23,26,43,45,55,56,58,61,63,65,68,69,70,82,84,89,93,96
0,1,9,18,23,24,26,37,43,44,45,66,67,74,78,80,84,89,90,95
0,17,19,21,32,38,40,42,52,55,57,60,61,63,72,76,78,85,90,91
7,13,15,16,20,21,22,28,34,37,42,46,58,62,63,64,71,80,85,86
0,17,21,27,30,34,36,39,48,51,53,62,63,70,71,73,74,90,92,93
2,6,17,18,24,29,34,38,43,48,55,56,58,60,67,76,81,86,90,96
5,8,14,24,31,34,35,42,46,49,50,58,63,68,69,74,77,80,91,96
1,7,15,20,23,24,25,28,36,40,45,51,53,63,66,76,86,89,90,98
5,6,7,12,17,29,38,44,45,47,49,51,65,66,73,74,76,81,83,93
5,12,14,15,25,40,44,49,53,58,65,67,77,78,80,82,89,94,95,99
0,1,9,22,24,26,38,40,45,47,55,58,59,60,61,73,80,91,94,98
3,5,6,10,11,23,25,27,34,36,40,42,46,48,56,71,74,75,78,86
7,12,18,20,23,25,26,30,34,37,43,46,47,48,56,74,77,79,90,97
22,23,25,26,34,37,40,43,46,53,59,68,71,73,80,87,88,89,92,96
2,5,7,21,24,28,29,31,32,38,42,63,64,65,66,70,75,86,89,94
0,6,10,14,15,16,20,33,35,36,42,46,48,49,61,67,86,87,89,91
0,2,9,11,13,16,21,22,29,34,41,47,48,49,52,81,83,90,93,97
16,24,25,26,28,39,48,49,50,63,70,71,78,80,86,87,90,95,97,99
1,9,13,18,22,23,28,30,32,33,37,48,54,57,72,75,78,89,91,92
0,6,11,35,37,40,46,48,53,56,61,63,67,70,73,77,80,88,94,95
0,5,15,16,17,19,25,26,33,38,49,51,56,57,60,74,77,84,85,90
2,5,8,20,24,25,28,29,31,33,37,39,42,45,48,51,58,88,90,95
5,13,14,15,16,17,25,28,30,34,38,45,51,67,70,72,74,81,82,94
1,12,17,24,29,38,45,46,56,58,61,64,66,69,72,73,81,85,86,88
